,x,y,topic,cluster
0,3.960091,-1.5782622,"Mexican-American War, Treaty of Guadalupe Hidalgo, U.S.-Mexico relations, Historical treaties, Territorial cession, Diplomatic negotiations",2
1,14.750416,-2.9462142,"Declaration of Independence, American history, Founding documents, Colonial America, Revolutionary War",26
2,-3.251243,5.138157,"Indian Removal, Andrew Jackson, U.S. Congress, Native American history, 19th century American policy, Trail of Tears, Indian Removal Act, U.S. history",7
3,4.088091,-3.1941946,"Adams-Onis Treaty, U.S.-Spain relations, 19th century treaties, territorial boundaries, diplomatic agreements",2
4,11.334815,7.711385,"Social Media, Modern History, Impact of Communication Technologies, Digital Communication, Social Justice, Civic Engagement",15
5,-1.4447869,19.466158,"Frances Willard, Women's rights, Temperance, World's Woman's Christian Temperance Union, National Women's Christian Temperance Union, 1893 World Columbian Exposition",3
6,19.626442,3.825314,"Compromise of 1850, Slavery, National Expansion, Senate Resolutions, Legislative History, Fugitive Slave Act, California Statehood, Texas Boundary Dispute",5
7,-11.312501,7.759031,"History of Education, Science Education, 19th Century Education, Physical Forces, Michael Faraday, Scientific Lectures",1
8,10.961017,18.463346,"Abolitionism, William Lloyd Garrison, The Liberator, 19th Century American History, Social Justice, Historical Documents",17
9,-8.918581,-5.1255684,"Abigail Adams, John Adams, Historical correspondence, 18th century America, American Revolution",4
10,23.115084,-0.6867104,"Exodusters, African American migration, Great Plains, historical documents, photographs, newspaper articles, letters, broadside, maps, songs",6
11,17.183321,-3.7887018,"Whiskey Rebellion, George Washington, Founding Fathers, Presidents, U.S. History",27
12,13.90628,1.9038974,"Coinage, U.S. Treasury, Legislation, Silver Coins, Gold Coins, Mint Regulations, Legal Tender, Bullion Deposits",19
13,15.915073,5.5364575,"Progressivism (United States politics), History of the United States, Politics and government, 20th century United States politics",20
14,9.149386,18.293121,"Abraham Lincoln, Emancipation Proclamation, Civil War, American History, Slavery, Historical Documents",17
15,-2.1765902,8.148756,"Kublai Khan, Mongol Empire, Christianity, Patriarch election, Cultural exchange, Religious visions, Historical accounts, Trade networks",9
16,22.353497,4.677488,"Pacific Railway Act, Transcontinental Railroad, Legislation, U.S. History, Railroad Development, Civil War Era",5
17,-2.874275,3.199091,"Helen Hunt Jackson, A Century of Dishonor, U.S. government, Native American tribes, Indian affairs, historical accounts, treaties, massacres, social justice",7
18,20.772676,14.907996,"Homestead Strike, Labor Conflicts, William Weihe, Congressional Testimony, Pay Scale Changes, Pinkerton Detectives, Amalgamated Association of Iron and Steel Workers",13
19,19.221497,14.558017,"American working class, New York City history, Labor movements, 19th century America, Social history",13
20,-9.099043,-4.6379895,"John Adams, Slavery, Abolitionism, Historical Letters, American History, Quakers, 1801, Political Views",4
21,-10.8778,6.669942,"Philosophy, Ancient Greece, Anaximenes, Education, History of Science, Early Philosophers, Scientific Thought, Historical Texts",1
22,5.043108,11.908807,"American Drama, Theater History, Royall Tyler, Cultural Attitudes, 19th Century Literature",14
23,13.65075,7.003122,"African American history, Labor history, Women's history, Social history, Historical analysis",-1
24,14.894021,7.6576147,"McClure's Magazine, Periodicals, Historical Publications, American Literature, Intellectual Life",-1
25,15.584427,6.8321247,"Alexander Saxton, White Republic, Class Politics, Historical Analysis, 1990s Literature",20
26,-0.88163716,2.1363492,"Carlisle Indian School, Maggie Stands Looking, Indian education, assimilation policies, student experiences, historical letters, Caddo, Oneida, Outing System, Richard Pratt, Indian Helper newspaper",7
27,-1.1544749,1.6056852,"Zitkala-Sa, Indian boarding schools, Native American experiences, cultural assimilation, childhood memories, education, identity",7
28,12.694512,-0.07003812,"Federalism, Anti-Federalism, U.S. Constitution, Political Philosophy, Historical Documents",19
29,14.217402,5.4382033,"Environmental History, Environmental Policy, Primary Sources, History Documents, Legislation, Research Archives",-1
30,-0.59046257,20.863773,"World War II, Woman's Land Army, Home Front, Agriculture, Women's Roles in War, Historical Photography",3
31,18.733568,6.559123,"Imperialism, Capitalism, Economic Theory, Monopoly, Banking, Social Class, Historical Analysis",21
32,14.364775,-2.9113736,"Declaration of Independence, American history, Colonial grievances, Founding documents, Political philosophy",26
33,4.2559648,-1.1688685,"Mexican-American War, Abraham Lincoln, U.S. History, Political Debates, Texas Annexation, Boundary Disputes",2
34,16.11254,2.52406,"Election of 1876, Primary sources, Political campaigns, Historical documents, American history, Rutherford B. Hayes, Samuel J. Tilden",-1
35,9.440642,18.677477,"John Brown, Civil War, Slavery, Historical speeches, American history, Trial and justice",17
36,-3.6065311,17.212606,"Post-Colonial Studies, African Independence, Violence and Nationalism, All-African People's Conference, Historical Resolutions",8
37,14.076885,10.774863,"14th Amendment, Civil Rights, U.S. Constitution, Reconstruction, Citizenship, Legal Rights, Historical Context",22
38,19.245028,4.302617,"Compromise of 1850, Fugitive Slave Act, Slave Trade, U.S. Legislative History, 19th Century American History",5
39,-5.440774,17.631624,"Christopher Columbus, 1492 Voyage, Transatlantic Trade, Exploration, Colonialism, Native Inhabitants, Historical Accounts",8
40,13.10018,15.743632,"WPA Slave Narratives, Slavery, Personal Accounts, Historical Experiences, Life on Plantations, Emancipation, African American History",17
41,14.720311,13.228048,"Supreme Court, Ex Parte Milligan, Habeas Corpus, Military Law, Civil Rights, Legal Proceedings",23
42,13.74142,18.771069,"Booker T. Washington, Atlanta Compromise, Race relations, Economic cooperation, African American history, Southern United States, 1895 Exposition",17
43,22.659697,4.7575088,"Central Pacific Railroad, Leland Stanford, Chinese labor, 1865 railroad construction, U.S. history, Labor history",5
44,11.469847,18.095078,"Harriet Beecher Stowe, Uncle Tom's Cabin, Slavery, Fiction, Political fiction, American literature, 19th century literature",17
45,12.251843,12.630808,"Jim Crow laws, Segregation, Legal history, Civil rights, American history, Racial discrimination",23
46,16.461016,-3.1365113,"George Washington, Henry Knox, Shays' Rebellion, U.S. History, Constitutional Convention, Political History, Insurrection, Massachusetts, Federal Government",27
47,6.862157,0.5802435,"American History, Frontier Thesis, Frederick Jackson Turner, American Democracy, Westward Expansion",12
48,5.653657,0.06017914,"Manifest Destiny, John L. O'Sullivan, American Expansionism, Texas Annexation, 19th Century American History",12
49,23.50399,-1.5304369,"James Bridger, Westward Expansion, Oregon Trail, California Trail, Mormon Trail, Trappers and Guides, 19th Century American History",6
50,-4.4018545,15.76825,"African culture, Religion in West Africa, Slave trade, Colonialism, Personal narratives, Historical accounts, Cultural practices, Environmental impact",8
51,-1.619926,20.429594,"labor movements, manuscripts, original documents, historical accounts, government archives",-1
52,-11.172882,8.368688,"Electricity, Magnetism, Scientific Principles, Educational Demonstrations, Physics",1
53,13.294508,-2.920454,"Thomas Jefferson, Declaration of Independence, American history, Colonial America, Revolutionary War, Founding Fathers",26
54,3.8984587,-3.6239402,"Adams-Onis Treaty, Treaty of Amity, Territorial boundaries, United States history, Spanish history, Diplomatic agreements",2
55,22.09645,5.1282797,"Land Ordinance, United States Congress, Western Territory, Land Disposal, Surveying Regulations, Historical Legislation",5
56,13.61798,9.522852,"Reconstruction, Political history, Economic history, William Dunning, American history, Civil War aftermath",22
57,8.761153,20.180092,"Alexander Stephens, Cornerstone Speech, Civil War, American History, Slavery, Political Speeches",17
58,17.49495,-3.624583,"Quaker beliefs, Military drafts, Ethics of war, Religious conscience, Historical events in Pennsylvania, Community responses to conflict, Personal reflections on war",-1
59,10.255689,8.349559,"Copyright, Library of Congress, Photographs, Historical documentation, Media representation, Historical narratives",15
60,20.39553,14.467251,"American Federation of Labor, Labor Rights, Labor Activism, Historical Documents, United States History, 20th Century Labor Movements",13
61,20.55948,4.285057,"Kansas-Nebraska Act, Legislation, Slavery, Territorial Government, U.S. History",5
62,13.482491,13.334847,"Dred Scott, Supreme Court, Slavery, Legal History, Civil Rights, Constitutional Law",23
63,2.0705383,16.080706,"Henry David Thoreau, Civil Disobedience, Philosophy, Political Activism, Social Justice",11
64,-2.5063648,9.473902,"Islam, Hadith, Religious Teachings, Prophet Muhammad, Islamic Principles, Morality in Islam, Community in Islam",9
65,-4.0306587,16.089943,"Transatlantic slave trade, Olaudah Equiano, Environmental impacts of slavery, Human rights, Historical narratives, Colonialism, Cultural encounters",8
66,-6.7154346,18.533722,"Indigenous experiences, Cultural beliefs, Family dynamics, Historical accounts, Personal narratives, Colonial encounters",8
67,14.233141,13.833606,"Supreme Court, Judicial Review, Constitutional Law, Federalism, Legal History",23
68,5.9798527,5.5132074,"Civil Rights Movement, Student Nonviolent Coordinating Committee (SNCC), Oral histories, Civil rights demonstrations, Political activism, Integration of schools, Voter registration, Arkansas history",18
69,19.741493,14.934374,"Labor Conflicts, Homestead Strike, Historical Documents, Labor History, American History",13
70,10.582121,-4.375667,"American Revolution, Colonial History, Political Resistance, Historical Documents, Pauline Maher",26
71,15.532569,6.293055,"American History, Reform Movements, Political History, Richard Hofstadter, 20th Century America",20
72,15.203068,5.111194,"American History, Early American History, Government, Historic American Law, Political Science, Primary Documents in American History",-1
73,5.5758004,4.443976,"Civil Rights Movement, Emmett Till, Lynching, Oral Histories, Cultural Heritage Preservation, Historical Interviews",18
74,7.658071,9.496731,"Japanese Americans, Manzanar, World War II, Internment, Historic Photography, Ansel Adams",15
75,-4.002497,2.6242566,"Chief Joseph, Indian Affairs, Nez Percé, U.S. Government, Westward Expansion, Native American Rights, Historical Speeches",7
76,13.581304,2.5278854,"Alien and Sedition Acts, Political Parties, Freedom of Speech, Historical Legislation, U.S. History, Federalists vs. Democratic-Republicans",19
77,1.9512572,-11.165159,"Virginia, Natural History, Environmental Observations, Historical Accounts, Travel Accounts",0
78,-2.2622108,7.0985556,"Christianity, Conversion of Clovis, Cultural Diffusion, Syncretism, History of the Franks, Paganism, Political Influence of Religion, Marriage and Religion, Historical Accounts of Conversion",9
79,-9.289878,-5.2500944,"Abigail Adams, John Adams, American Revolution, Women's Rights, Historical Correspondence, Political Analysis",4
80,0.24320677,22.258268,"Anglo-Saxon History, Æthelflæd, Medieval Women, Military History, Political History, Chronicles, Gender Roles in History",3
81,12.824724,-2.962021,"Thomas Jefferson, American Revolution, Colonial Rights, British Parliament, Political Philosophy, Historical Documents",26
82,2.5929718,16.299149,"Henry David Thoreau, Civil Disobedience, Government, Justice, Conscience, Individual Rights, Political Philosophy",11
83,-3.0595844,7.1811566,"History of Eastern Christianity, Cultural exchanges, Trade routes, Religious narratives, Historical accounts of notable figures",9
84,15.518168,-5.6522527,"Benjamin Franklin, Stamp Act, House of Commons, American Revolution, Colonial history, Political testimony",24
85,4.8322577,13.709076,"Horatio Alger, Rags to Riches, American Dream, Literature, Biography, Success in Literature",14
86,-9.199505,-5.179378,"Abigail Adams, John Adams, Women's Rights, Historical Letters, American Revolution",4
87,9.057277,19.937428,"Lincoln-Douglas debates, 1858, slavery, political speeches, Republican party, historical context, Abraham Lincoln, Stephen A. Douglas",17
88,11.050518,16.167526,"South Carolina History, Revolutionary War, Eliza Wilkinson, Personal Accounts, Letters, 18th Century History",17
89,9.870186,19.367008,"John Brown, Trial, Court Speech, Historical Speech, Abolitionism",17
90,0.08748109,20.433674,"Fanny Fern, Cult of Domesticity, Women's Roles, 19th Century Literature, Marriage, Gender Norms",3
91,12.409047,-4.346637,"Thomas Jefferson, Meriwether Lewis, Lewis and Clark Expedition, Louisiana Purchase, Exploration, Early American History, U.S. Government, Native American Relations",-1
92,-10.765223,6.0782537,"Aristotle, Philosophy, Natural Science, History of Science, Ancient Texts",1
93,-2.6477113,4.5244503,"Helen Hunt Jackson, Native American history, U.S. government policies, Indian tribes, historical accounts, social justice, 19th century literature",7
94,-2.6369927,1.7981893,"Simon Pokagon, Native American history, Indigenous perspectives, Cultural commentary, Historical documents",7
95,12.59087,16.116827,"Charles Ball, Slavery, Tobacco Plantations, Southern States, 19th Century American History, Slave Narratives, Biography, Plantation Life, African American History",17
96,13.621101,-3.3194728,"Virginia Declaration of Rights, George Mason, American Revolution, Natural Rights, State Constitutions, Bill of Rights",26
97,8.706398,19.191458,"Abraham Lincoln, Second Annual Message, Congress, Emancipation, Civil War, American History, Political Speech",17
98,13.854102,-4.789614,"Thomas Jefferson, Election of 1800, Political Tolerance, Majority and Minority Rights, Federalism, Republicanism, Historical Context, American Government",26
99,8.101327,9.15641,"Japanese Americans, Gentlemen's Agreement, Discrimination, Immigration, California history, World War II, Civil rights, Legislation, Census data",15
100,-3.5696855,2.0202596,"Elias Boudinot, Native American history, 1826, Address to the Whites, Historical speeches",7
101,15.865266,-5.764177,"Stamp Act, Parliamentary debates, Colonial taxation, British politics, American Revolution, Historical documents",24
102,5.684278,-5.421847,"Treaty, Native American History, United States History, Land Cession, Indian Tribes, Historical Agreements",2
103,12.718322,13.196748,"Black Codes, Mississippi, South Carolina, 1865, Civil Rights, Legal History",23
104,22.605991,4.5177193,"Transcontinental Railroad, Railroad history, Acts of Congress, Historical research, Maps and images, Transportation in the United States",5
105,23.877594,-1.1327287,"California Trail, Oregon Trail, Pioneer Life, Gold Rush, 19th Century American History, Travel Accounts, Personal Letters, Emigration, Native American Relations, Health and Sickness on the Trail",6
106,19.965393,14.497957,"Labor Rights Activism, 20th Century History, Historical Documents, American Labor Movement",13
107,-1.5138434,19.34315,"Carrie Chapman Catt, Women's suffrage, Women in politics, Political speeches, League of Women Voters",3
108,11.6104555,19.795681,"Frederick Douglass, Fourth of July, American slavery, Civil rights, Historical speeches, Constitution, American history",17
109,-3.2018182,2.427286,"Elias Boudinot, Cherokee Indians, Historical speeches, 19th century American history, Native American relations",7
110,11.987603,20.1962,"David Walker, Abolitionism, African American history, Slavery, Civil rights, Racial inequality",17
111,6.432534,13.313292,"Upton Sinclair, The Jungle, American literature, Social reform, Meatpacking industry, Early 20th century America",-1
112,14.361194,7.0516706,"American identity, Ethnic diversity, Multiculturalism, Public opinion research, Normative content of identity",-1
113,23.176702,-1.3741133,"Owen Wister, The Virginian, American West, Literature, Cowboys, 19th Century Literature",6
114,13.498714,-5.2253256,"Thomas Jefferson, Congress, 1801, Annual Message, Presidential Communications, U.S. History, Government, Legislation",26
115,-2.5364387,9.495831,"Timbuktu, Kingdom of Songhai, Economic connections, Cultural practices, Historical accounts, Travel literature",9
116,10.52905,7.6772027,"Photography, Social Media Impact, Modern History, Visual Documentation, History Studies",15
117,13.853977,13.109872,"Dred Scott, Supreme Court, Slavery, Constitutional Law, Civil Rights, Legal History",23
118,16.044014,-4.8777475,"Pontiac's Rebellion, Lord Jeffrey Amherst, Germ warfare, American Indians, British military history, Historical documents, Colonial America",24
119,15.78109,2.5496044,"Election of 1824, Primary sources, Political cartoons, Electoral tickets, Historical documents, American history, Presidential elections",-1
120,-2.5543413,6.8771834,"Christianity, Paganism, Cultural Diffusion, Syncretism, Religious Conversion, Historical Accounts, Early Medieval History, Council of Whitby",9
121,13.27096,12.041112,"Ku Klux Klan, Threats, 1868, Black Office Holders, Civil Rights, Reconstruction Era",22
122,-10.501492,6.1420426,"Galen, Ancient Medicine, Medical Theories, Public Health History, Philosophy of Medicine",1
123,-4.098738,16.481678,"Slavery, West African Culture, Religion, Environmental History, Historical Narratives, Cultural Practices, Colonialism, Human Rights",8
124,7.125298,12.586599,"Social Reform, Urban Poverty, Tenement Housing, 19th Century New York, Jacob Riis",-1
125,14.10734,7.18761,"Fatherhood, Generational Conflict, American Culture, Literature, Social Studies",-1
126,-7.071738,18.450676,"Environmental history, Settler experiences, Native American relations, Moral and spiritual reflections, Colonial history, Religious influences on settlement, Community and family values, Social responsibility",8
127,13.942235,10.001753,"Charles Sumner, Reconstruction, Presidential Power, Congress, Civil Rights, American History, 19th Century Politics",22
128,9.175581,17.446636,"Emancipation, Civil War, United States history, Presidential proclamations, Slavery, Legal documents",17
129,12.774984,-3.1917968,"Exploration, Fur trade, Political history, Environmental considerations, American Revolution, French political climate, Thomas Jefferson, John Ledyard",26
130,-3.4548006,7.308543,"Seleucus I Nicator, Alexander the Great, Hellenistic period, Diadochi, Ancient trade routes, Political history, Syrian Wars",9
131,19.743221,-5.2937956,"George Washington, Farewell Address, Political Parties, National Unity, Government, Liberty",25
132,12.237263,20.01445,"Abolition Movement, Frederick Douglass, Fourth of July, American slavery, Civil rights, Historical speeches, Rhetoric, Social justice",17
133,15.423199,-4.1492515,"Bacon's Rebellion, Colonial Governance, Political Grievances, Social Dynamics, Virginia History, 17th Century America",24
134,-11.271708,5.8458962,"History of Medicine, Public Health, Kidney Function, Ancient Medical Theories, Blood Purification",1
135,8.678463,19.605038,"Lincoln-Douglas Debates, Abraham Lincoln, Stephen A. Douglas, 19th Century American Politics, Historical Exhibitions",17
136,4.5914054,-0.53784436,"Texas Revolution, Alamo, William B. Travis, Santa Anna, Historical documents, 19th century American history",-1
137,11.363433,19.098822,"American slavery, Theodore Dwight Weld, Historical testimonies, 19th century America, Abolitionist literature",17
138,-11.804407,9.349572,"Marie Curie, Radium, Radioactivity, Scientific Discovery, Medical Technology, History of Science, Innovation",1
139,19.442612,13.625914,"Factory labor, Lowell Mill Girls, Women in the workforce, 19th century labor history, New England history",13
140,-3.0484948,4.7983356,"Indian Removal Act, Andrew Jackson, Congress, Native American history, 19th century American history",7
141,21.132309,14.879997,"Pullman Company, Labor Strikes, George Pullman, Economic Conditions, 1894 Pullman Strike, Workers' Rights, Company Towns, Wage Reductions, Industrial Relations",13
142,-12.694099,10.138211,"Alexander Graham Bell, communication technology, historical manuscripts, invention of telephone, impact of technology on society",1
143,0.31930044,1.6902763,"Native American history, Edward S. Curtis, photography, Library of Congress, historical documents, visual documentation, print and photographs, archival research",7
144,13.376473,-4.5458975,"Thomas Jefferson, Religious Freedom, Virginia, Legislation, Historical Documents, 18th Century American History",26
145,14.124075,18.383907,"W.E.B. Du Bois, African American soldiers, World War I, Civil rights, Racial equality",17
146,-3.202929,16.114367,"Slavery, Quaker beliefs, Moral and ethical considerations, Historical travel accounts, Socio-economic implications of slavery, Human-environment interactions",8
147,5.7344193,5.055874,"Civil Rights Movement, Emmett Till, Historical accounts, Lynching, Oral histories, Interviews, Cultural Heritage Preservation",18
148,19.419918,3.8349545,"Missouri Compromise, Historical Documents, Legislation, 19th Century American History",5
149,16.240211,-7.1057076,"Sugar Act, British Parliament, Colonial America, Duties and taxes, Trade regulations, Historical legislation",24
150,11.106444,-3.5122793,"Thomas Paine, Common Sense, American Revolution, Political Philosophy, Independence, Colonial America",26
151,-9.264375,-4.611034,"Abigail Adams, Women's Rights, American History, Letters, Founding Fathers, Early American Politics",4
152,11.353738,18.21156,"Phillis Wheatley, Poetry, Religious themes, Moral themes, 18th century literature, African American literature",17
153,9.617073,9.148837,"Immigration, Labor History, Folklore, Interviews, Narratives, U.S. History, Civil Rights",15
154,19.88216,15.212358,"Emma Goldman, Henry Clay Frick, Carnegie Steel Company, Labor Relations, Anarchism, Historical Events, 19th Century America",13
155,8.955777,9.910096,"Irish Immigration, Great Famine, 19th Century Immigration, Voyage Experiences, Ship Fever, Emigrant Narratives",15
156,8.427764,19.897644,"Abraham Lincoln, Gettysburg Address, Civil War, American History, Speeches, Historical Documents",17
157,23.728527,-1.442044,"William Swain, California Gold Rush, 1849, Letters, Pioneer Life, Historical Accounts",6
158,10.151665,8.00997,"Privacy issues, Publicity rights, Copyright law, Photography law, Historical manuscripts, Transnational movements, Social justice",15
159,11.558028,19.882723,"Frederick Douglass, American Anti-Slavery Society, Abolitionism, 19th Century American History, Civil Rights",17
160,24.064974,-0.6314001,"Oklahoma Land Rush, Historical Events, Eyewitness Accounts, American History, Land Settlement, 19th Century America",6
161,4.8964458,-4.808665,"Treaty of Paris, French and Indian War, Historical treaties, International relations, 18th century history",2
162,-5.884089,17.899647,"maritime exploration, historical accounts, indigenous encounters, voyages, exploration narratives, sea creatures, expedition challenges",8
163,11.112651,16.196072,"Slavery, United States, Historical documents, 19th century literature, Southern economy, Civil War, Social issues",17
164,-0.6384596,20.02423,"Florence Kelley, Women's political culture, History of social reform, 19th century America, Political activism",3
165,20.008453,4.240662,"Kansas-Nebraska Act, Legislation, Territorial Government, Voting Rights, Judicial Power, Elections",5
166,-0.010767912,22.27834,"History, Education, Medieval Studies, Science, Social History, Intellectual Life, Women's History, Cultural Studies",3
167,18.929455,6.862622,"Trade regulations, Company management, Historical trade practices, Global trade networks, Economic agreements",21
168,13.394351,16.071869,"Slavery, Personal narrative, Historical account, American history, Solomon Northup, Plantation life, Freedom and captivity, Social justice",17
169,12.454957,1.4343828,"Great Compromise, Constitutional Convention, Legislative Structure, Federalism, Historical Documents, U.S. Constitution",19
170,4.314249,14.471524,"Russell Conwell, Acres of Diamonds, Public Speaking, American Rhetoric, Philosophy of Wealth",-1
171,-6.838811,17.841505,"Colonial Maryland, Native American treaties, Historical narratives, Missionary letters, Early American history, Colonial exploration",8
172,21.066242,14.798514,"Pullman Strike, American Railway Union, Labor conditions, George Pullman, Workers' rights, Historical speeches, 1894 Chicago Strike",13
173,21.740692,4.6474047,"Interstate Commerce Act, Transportation regulation, Railroad industry, U.S. legislation, Economic history, Legal provisions, Interstate Commerce Commission",5
174,17.566528,7.106083,"Social classes, Economic theory, Political philosophy, State and society, Rights and responsibilities, Labor and self-denial, Inequality, Historical context of social classes",21
175,-0.5137348,22.324413,"Gender, Sexuality, Cross-dressing, Medieval history, Legal history, Same-sex relationships",3
176,-0.11524807,1.9075975,"Native American History, Photography, Historical Document, Edward S. Curtis, Cultural Representation",7
177,19.700169,13.472284,"Factory labor, Lowell Mill Girls, 19th century labor, Massachusetts Bureau of Statistics of Labor, Women's labor history",13
178,4.711973,12.254486,"American literature, Theater, Royall Tyler, Historical context, 19th century drama",14
179,8.746814,10.153365,"Chinese Immigration, Hinton Rowan Helper, Historical Accounts, 19th Century America, Immigration Policy",15
180,-1.3286123,19.957443,"Women's Rights, Public Speaking, Suffrage Movement, History of Women, Political Participation, Democracy, Social Change, Labor History",3
181,6.3369856,0.32742694,"Art, American History, Manifest Destiny, John Gast, 19th Century Art, Cultural Significance",12
182,15.460964,2.3388329,"James Monroe, Era of Good Feelings, Massachusetts Society of the Cincinnati, American History, Political History, Revolutionary War, Federalism, Presidency, 19th Century America",-1
183,12.688898,-4.167918,"Thomas Jefferson, Virginia geography, Navigation, Historical documents, American history",26
184,18.579998,-3.7816968,"George Washington, Valley Forge, Continental Army, American Revolutionary War, Congress, Military leadership, Historical letters",25
185,-12.142742,9.765702,"History of Science, Technology, Arts, Manufactures, Mining, Engineering, Dictionary, Reference",1
186,-3.17304,9.703116,"Military structure, Political dynamics, Rajahs, Great Moghul, Historical accounts, Trade routes, Indian history",9
187,11.023077,15.078866,"Freedmen's Bureau, African American history, Reconstruction, Education records, Labor agreements, Land applications",17
188,15.060823,5.351083,"American History, Early American History, Government, Historic American Law, Political Science, Primary Documents in American History",-1
189,19.640593,-3.7393112,"George Washington, William Crawford, Historical correspondence, 18th century American history, Colonial America, Land acquisition, Trade with Native Americans",25
190,4.4396935,12.246866,"Royall Tyler, The Contrast, American Theatre, 18th Century Drama, Literature, Cultural History",14
191,-2.826589,8.285665,"Mongol Empire, Religious interactions, Cultural exchanges, Church construction, Historical figures, Trade networks, Political history, Martyrdom",9
192,8.51876,21.001123,"Clement Vallandigham, Civil War, Political Speech, American History, Anti-War Sentiment",17
193,13.4552555,-0.42766085,"Presidential Election of 1800, Alexander Hamilton, Thomas Jefferson, Aaron Burr, Political Parties, Electoral College, Federalists, Democratic Republicans, Twelfth Amendment, American History",-1
194,13.465064,0.03527917,"Federal Convention, Constitutional Convention, James Madison, Max Farrand, Historical Records, U.S. Constitution, American History",19
